Individual Race Samples,Date,Race Event Name,Race Number,Horse Name,Jockey,Last Raced,Weight,Start Position,Finish Position,Odds,LIFE%WIN,AVESPRAT,W/RACE,LSPEDRAT,JOCK%WIN,JOCK#WIN,JIMISTDATA,NEWDIST,timeSinceLastRace,Age Of Horse,finishingPostioninLastRace,,,weightCarriedInPastRace,Binary Odds
,4/4/2023,Mahonning Valley Race Course,156,Perfectingtheview,Angel Diaz,3/14/2023,124,7,0,10.4,0.2,67.25,"$49,893.00 ",83,,,,,21,6,8-Feb,2,0.25,124,0
,4/4/2023,Mahonning Valley Race Course,156,Blazing Zenna ,Brandon Tapara,3/14/2023,124,6,0,7.7,0.2667,76.5,"$8,802.00 ",80,,,,,21,5,8-Apr,4,0.5,124,0
,4/4/2023,Mahonning Valley Race Course,156,Blonde By Nature,Luis Batista,3/28/2023,124,5,0,32.3,0.2308,56.25,"$8,459.00 ",61,,,,,7,6, 5/7,5,0.71,124,0
,4/4/2023,Mahonning Valley Race Course,156,Lieutenant Kitty,Mauro Cedillo,11/29/2022,119,8,0,59.6,0.0833,58,"$1,874.00 ",41,,,,,126,5,7-Jul,7,1,123,0
,4/4/2023,Parx Racing ,157,Jackie B Good,Adam Bownab,3/22/2023,123,5,0,0.7,0.0833,45.75,"$20,390.00 ",61,,,,,13,4, 2/7,2,0.29,123,1
,4/4/2023,Parx Racing ,157,Popthechampagne Ro,Gherson (Jason) Huayas,3/22/2023,113,3,0,8.2,0.1111,29.5,"$19,100.00 ",39,,,,,13,3, 3/7,3,0.43,111,0
,4/4/2023,Parx Racing ,157,Peach Be With Q,Ruben Silvera,3/17/2023,119,4,0,1.5,0.4,38.75,"$27,594.00 ",45,15%,109,,,18,3, 5/9,5,0.56,124,0
,4/4/2023,Parx Racing ,157,Say no More,Jorge Perez,3/20/2023,123,1,0,17.8,0.0833,28.25,"$16,090.00 ",38,,,,,15,4, 4/7,4,0.57,121,0
,4/4/2023,Parx Racing ,157,Misbehaving Lady,Silverstre Gonzalez,3/20/2023,123,2,0,32.4,0,28.25,"$10,090.00 ",40,,,,,15,5, 3/7,3,0.43,121,0
,4/4/2023,Parx Racing ,157,Sirenetta,Angel Guerere ,3/22/2023,118,7,0,71.5,0.0667,20.25,"$33,756.00 ",27,,,,,13,3,7-Jul,7,1,118,0
,4/4/2023,Parx Racing ,157,Princess Emma Jo,Jonathan Ocasio,3/22/2023,123,6,0,26.3,0.0769,26.25,"$19,300.00 ",37,,,,,13,4, 5/7,5,0.71,121,0
,4/4/2023,Parx Racing ,158,Double Dealer,Franklin Pennington,3/21/2023,126,3,0,0.5,0.25,66.25,"$39,000.00 ",75,,,,,14,4, 1/9,1,0.11,121,1
,4/4/2023,Parx Racing ,158,Hornbeam,Joseph Trejos,3/6/2023,123,4,0,2.8,0.1667,67,"$50,010.00 ",72,,,,,29,4,9-Mar,3,0.33,121,0
,4/4/2023,Parx Racing ,158,He'ssosubtle,Anthony Nunez,3/22/2023,123,7,0,8.1,0.1176,59.25,"$31,090.00 ",55,,,,,13,4, 5/6,5,0.83,121,0
,4/4/2023,Parx Racing ,158,Whata Guy,Jaime Torres,3/17/2023,121,6,0,10.6,0.125,45.75,"$28,824.00 ",67,,,,,18,5, 1/4,1,0.25,122,0
,4/4/2023,Parx Racing ,158,Dadashev,Franklin Gonzalez Jr,3/21/2023,123,1,0,22.3,0.0769,59.25,"$42,500.00 ",61,,,,,14,4,10-May,5,0.5,121,0
,4/4/2023,Parx Racing ,158,I Saw It All,Dereck Lopez,3/21/2023,114,2,0,84.2,0.0385,40.5,"$11,590.00 ",41,,,,,14,7,10-Oct,10,1,121,0
,4/4/2023,Parx Racing ,158,Transfer the Funds,Mychel Sanchez,3/11/2023,123,5,0,14.6,0.1429,56.25,"$17,199.00 ",72,,,,,24,6, 6/7,6,0.86,122,0
,4/4/2023,Parx Racing ,159,Under the Radar,Frankie Pennington,3/20/2023,123,3,0,1,0.1111,85.5,"$58,450.00 ",83,,,,,15,4, 3/7,3,0.43,121,1
,4/4/2023,Parx Racing ,159,Good Culture,Andy Hernandez,3/20/2023,123,1,0,1.5,0.1333,84,"$45,750.00 ",84,,,,,15,5, 2/7,2,0.29,121,0
,4/4/2023,Parx Racing ,159,Itwasthedevilsidea,Dexter Haddock,3/15/2023,126,2,0,3.3,0.2,71,"$49,010.00 ",78,,,,,20,6, 1/6,1,0.17,126,0
,4/4/2023,Parx Racing ,159,Kodapendent,Ruben Silvera,3/20/2023,123,4,0,8.3,0.1667,80,"$13,190.00 ",80,15%,109,,,15,5, 4/7,4,0.57,121,0
,4/4/2023,Parx Racing ,160,Meet The Elite,Anthony Nunez,1/30/2023,118,6,0,9.3,0.2,52.5,"$37,018.00 ",64,,,,,64,3, 2/7,2,0.29,118,1
,4/4/2023,Parx Racing ,160,Must Be Love,Silverstre Gonzalez,1/31/2023,123,1,0,3,0.0667,51.75,"$37,810.00 ",50,,,,,63,4, 6/7,6,0.86,116,0
,4/4/2023,Parx Racing ,160,Shiftinggears,Andy Hernandez,3/13/2023,118,7,0,16.2,0.5,28,"$24,550.00 ",58,,,,,22,3, 3/5,3,0.6,118,0
,4/4/2023,Parx Racing ,160,Coffee With Alex,Jeremy Laprida,4/23/2022,123,5,0,4.4,0.2,64.5,"$26,100.00 ",76,,,,,346,4, 6/7,6,0.86,119,0
,4/4/2023,Parx Racing ,160,Late to the Show,Jonathan Ocasio,1/31/2023,123,8,0,3.4,0.1,69.75,"$22,732.00 ",79,,,,,63,5, 2/7,2,0.29,121,0
,4/4/2023,Parx Racing ,160,Jackie's Pride,Rubem Silvera,3/17/2023,123,3,0,6.1,0,73.25,"$5,250.00 ",63,,,,,18,5,6-Apr,4,0.67,122,0
,4/4/2023,Parx Racing ,160,Boy's and Bullets,Yabriel Ramos,2/27/2023,113,2,0,19.8,0.5,26.75,"$20,660.00 ",61,,,,,36,3, 1/4,1,0.25,116,0
,4/4/2023,Parx Racing ,160,Minxzhippsdontleye,Frankie Pennington,3/13/2023,119,4,0,3.8,0.1429,58.25,"$72,606.00 ",59,,,,,22,3, 2/5,2,0.4,119,0
,4/4/2023,Parx Racing ,161,Drone Swarm,Luis Rivera,3/13/2023,123,2,0,48.2,0.0952,54.5,"$21,224.00 ",58,,,,,22,5, 5/7,5,0.71,111,1
,4/4/2023,Parx Racing ,161,Horse BE with You,Mychel Sanchez,3/22/2023,126,1,0,0.9,0.2,67.75,"$37,030.00 ",77,,,,,13,5, 1/6,1,0.17,124,0
,4/4/2023,Parx Racing ,161,Will  Take Control,Dexter Haddock,3/15/2023,123,3,0,2.9,0.1739,69.25,"$36,725.00 ",72,,,,,20,5, 4/7,4,0.57,124,0
,4/4/2023,Parx Racing ,161,Grit'n'grind,Andrew Wolfsont,2/28/2023,123,7,0,3.7,0.2222,72,"$32,090.00 ",71,,,,,35,10,10-Jun,6,0.6,124,0
,4/4/2023,Parx Racing ,161,Outrageous Bet,Adam Bowman,3/29/2023,123,5,0,9.7,0.2105,66.75,"$15,775.00 ",58,,,,,6,9, 7/8,7,0.88,111,0
